name,latitude,longitude,free_bikes,empty_slots,total_docks
"200231 - Abingdon Green, Westminster",51.49764,-0.12597218,1,17,18
"200134 - Albany Street, The Regent's Park",51.528302,-0.144466,25,0,25
"003444 - Penywern Road, Earl's Court",51.49159394,-0.192369256,1,15,16
"200037 - Rectory Square, Stepney",51.518369,-0.043371,11,9,20
"300031 - Islington Green, Angel",51.53638435,-0.102757578,8,10,18
"001027 - Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,17,0,17
"200179 - Silverthorne Road, Battersea",51.47286577,-0.148059277,28,0,28
"200146 - Newby Place, Poplar",51.508896,-0.012413,17,0,17
"300224 - New Spring Gardens Walk, Vauxhall",51.4878074485,-0.122759625866,35,0,35
"200219 - Osiers Road, Wandsworth",51.46067005,-0.198735357,28,2,30
"000984 - Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,0,33,33
"003468 - Margery Street, Clerkenwell",51.52659961,-0.112432615,9,10,19
"001088 - Triangle Car Park, Hyde Park",51.50645179,-0.170279555,4,19,23
"300239 - Victory Place, Walworth",51.492807,-0.091938,21,1,22
"001213 - Curlew Street, Shad Thames",51.50227992,-0.074189225,15,5,20
"300041 - Finnis Street, Bethnal Green",51.52458353,-0.058631453,17,0,17
"200002 - Jubilee Street, Stepney",51.515975,-0.053177,17,8,25
"002695 - Cadogan Gardens, Chelsea",51.492462,-0.159919,1,14,15
"001064 - Old Street Station, St. Luke's",51.525615,-0.08853260000000773,3,31,34
"002686 - Royal College Street, Camden Town",51.536264,-0.133952,51,5,56
"001169 - Grosvenor Crescent, Belgravia",51.50135267,-0.153194766,0,16,16
"200105 - Bonny Street, Camden Town",51.541603,-0.138853,16,27,43
"200040 - Broomhouse Lane, Parsons Green",51.46841875,-0.199135704,27,0,27
"300086 - Fulham Broadway, Walham Green",51.47993289,-0.19411695,15,9,24
"200186 - Nantes Close, Wandsworth",51.46193072,-0.180791784,19,3,22
"022164 - Eaton Square (South), Belgravia",51.49456127,-0.15393398,12,17,29
"300028 - Everington Street, Fulham",51.48335692,-0.216305546,28,3,31
"003472 - Colombo Street, Southwark",51.50545935,-0.10569204,9,4,13
"002585 - Orsett Terrace, Bayswater",51.517932,-0.183716959,2,13,15
"001054 - East Road, Hoxton",51.52867339,-0.087459376,23,3,26
"000960 - Hop Exchange, The Borough",51.50462759,-0.091773776,0,52,52
"200101 - Monument Street, Monument",51.50964,-0.08497,2,18,20
"000976 - Longford Street, The Regent's Park",51.52559505,-0.144083893,1,16,17
"001083 - Commercial Street, Shoreditch",51.52127071,-0.0755789,1,15,16
"200242 - Merchant Street, Bow",51.526578,-0.027581,7,18,25
"300215 - St John's Crescent, Brixton",51.466232,-0.11317995,24,0,24
"001108 - North Wharf Road, Paddington",51.518623,-0.17660300000000007,15,6,21
"200126 - Usk Road, Clapham Junction",51.46348914,-0.182126248,19,11,30
"200016 - Castlehaven Road, Camden Town",51.542138,-0.145393,13,10,23
"200239 - Old Montague Street, Whitechapel",51.51793,-0.067937,5,13,18
"200060 - Drayton Gardens, West Chelsea",51.487196,-0.179369,8,9,17
"001015 - New Globe Walk, Bankside",51.5073853,-0.096440751,0,19,19
"300204 - Victoria Rise, Clapham Common",51.461376,-0.14780467,9,14,23
"001008 - Hatton Wall, Holborn",51.5216612,-0.109006325,2,22,24
"300220 - Farringdon Street, Holborn",51.516785,-0.10494775,0,24,24
"300092 - Hertford Road, De Beauvoir Town",51.53727795,-0.079201849,18,7,25
"003421 - Red Lion Square, Holborn",51.51943538,-0.119123345,0,16,16
"003507 - Store Street, Bloomsbury",51.519572,-0.13214036,0,28,28
"300211 - Ossulston Street, Somers Town",51.5293,-0.12827903,17,12,29
"300030 - Thorndike Close, West Chelsea",51.48089844,-0.183853573,24,0,24
"200065 - Lansdowne Walk, Ladbroke Grove",51.509591,-0.204666,11,9,20
"300057 - Westbourne Park Road, Portobello",51.51787005,-0.201005397,17,3,20
"002688 - Clifford Street, Mayfair",51.51066202,-0.142345694,0,16,16
"200071 - Hoxton Street, Hoxton",51.52959,-0.0801,9,16,25
"003442 - Abingdon Villas, Kensington",51.4973875,-0.197245586,1,14,15
"002680 - Harrowby Street, Marylebone",51.5173721,-0.1642075,0,16,16
"003462 - Royal Avenue 2, Chelsea",51.490083,-0.162418,0,10,10
"001184 - St. Mary Axe, Aldgate",51.51422502,-0.080660083,0,18,18
