name,latitude,longitude,free_bikes,empty_slots,total_docks
"001173 - Gloucester Terrace, Bayswater",51.51791921,-0.188098863,20,0,20
"001214 - Kensington Olympia Station, Olympia",51.49815779,-0.209494128,13,12,25
"200150 - Cantrell Road, Bow",51.521564,-0.022694,10,14,24
"002662 - Butler Place, Westminster",51.49782999,-0.135440826,3,15,18
"001103 - Gloucester Street, Pimlico",51.49096258,-0.139625122,23,1,24
"002693 - Shouldham Street, Marylebone",51.51809,-0.163609,5,9,14
"001012 - Christopher Street, Liverpool Street",51.52128377,-0.084605692,4,28,32
"200114 - Orbel Street, Battersea",51.47453545,-0.170210533,11,15,26
"001131 - Graham Street, Angel",51.53266186,-0.099981142,19,5,24
"200141 - Westfield Ariel Way, White City",51.509158,-0.224103,38,3,41
"001197 - Sackville Street, Mayfair",51.51004801,-0.138846453,0,16,16
"200151 - Hoxton Station, Hoxton",51.531091,-0.075901,5,15,20
"003429 - Abbey Orchard Street, Westminster",51.4981256,-0.1321021999999914,1,26,27
"002666 - Howick Place, Westminster",51.49675303,-0.138733562,1,20,21
"300090 - Blenheim Crescent, Ladbroke Grove",51.51510818,-0.208565479,13,5,18
"200205 - Montserrat Road , Putney",51.46321128,-0.215550761,21,2,23
"300046 - Alma Road, Wandsworth",51.45799126,-0.184806157,23,5,28
"001053 - Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,4,15,19
"200008 - Portman Square, Marylebone",51.516204,-0.155525,0,17,17
"000968 - Warwick Row, Westminster",51.497998,-0.14296064,0,16,16
"001200 - Ontario Street, Elephant & Castle",51.49652013,-0.101384068,10,4,14
"200232 - Preston's Road, Cubitt Town",51.499286,-0.009152,15,6,21
"300056 - Mile End Stadium, Mile End",51.51854104,-0.034903714,12,6,18
"003489 - Broadwick Street, Soho",51.5136846,-0.135580879,0,14,14
"003426 - Lansdowne Drive, Hackney Central",51.539834,-0.062806212,21,2,23
"022181 - Camley Street, Camden Town",51.53792,-0.13052999999999315,9,9,18
"300014 - Falcon Road, Clapham Junction",51.46663393,-0.169821175,26,1,27
"001100 - Strand, Strand",51.512582,-0.11505729999998948,0,31,31
"200241 - Bonner Gate, Victoria Park",51.53341,-0.049591815,20,0,20
"300222 - Fore Street, Guildhall",51.518093,-0.0914017,2,22,24
"003439 - Tavistock Place, Bloomsbury",51.5262503,-0.123509611,9,10,19
"022158 - Exhibition Road Museums 1, South Kensington",51.496468,-0.17379696,0,11,11
"001118 - Hampton Street, Walworth",51.49217002,-0.101536865,18,0,18
"001070 - Bricklayers Arms, Borough",51.49506109,-0.085814489,28,0,28
"000970 - Scala Street, Fitzrovia",51.51991453,-0.136039674,0,20,20
"300026 - All Saints' Road, Portobello",51.5190427,-0.204764421,6,15,21
"200169 - Ashley Crescent, Battersea",51.46718562,-0.152248582,28,0,28
"001156 - Bedford Way, Bloomsbury",51.52367314,-0.128377673,6,17,23
"001154 - Kennington Road, Vauxhall",51.49571828,-0.110889274,35,0,35
"200005 - New Cavendish Street, Marylebone",51.519167,-0.147983,2,15,17
"001114 - Pont Street, Knightsbridge",51.4968865,-0.161203828,1,22,23
"003425 - Northington Street , Holborn",51.5222641,-0.114079481,0,19,19
"200212 - Blackfriars Station, St. Paul's",51.511934,-0.10307894,0,34,34
"000967 - Golden Lane, Barbican",51.52174785,-0.094475072,1,24,25
"300022 - Evesham Street, Avondale",51.51148696,-0.218190203,2,27,29
"001067 - St. James's Square, St. James's",51.50742485,-0.134621209,0,38,38
"300233 - Aquatic Centre, Queen Elizabeth Olympic Park",51.541482,-0.010437700000011318,11,16,27
"022170 - Kennington Station, Kennington",51.488852,-0.105593,19,1,20
"002670 - Paddington Green, Paddington",51.520205,-0.174593,1,17,18
"001075 - Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,1,30,31
"300034 - St. Mark's Road, North Kensington",51.51687069,-0.213872396,12,8,20
"022179 - Exhibition Road, Knightsbridge",51.499917,-0.174554,0,18,18
"001006 - Percy Street, Bloomsbury",51.51863,-0.13267630000001418,0,27,27
"001128 - Westbourne Green, Westbourne",51.522168,-0.1928141999999866,13,6,19
"200215 - Greyhound Road, Hammersmith",51.48606206,-0.214428378,30,5,35
"300230 - Wynne Road, Stockwell",51.469217,-0.11268674,25,0,25
"200172 - Lansdowne Road, Ladbroke Grove",51.50748124,-0.205535908,12,16,28
"200010 - Manresa Road, Chelsea",51.486892,-0.170983,10,7,17
"300236 - Bevington Road West, North Kensington",51.5212,-0.208888173,18,5,23
"300232 - Riverlight South, Nine Elms",51.4813354746,-0.138212295869,22,3,25
"300062 - South Bermondsey Station, Bermondsey",51.488067,-0.057774596,15,7,22
"003422 - Charlbert Street, St. John's Wood",51.53430039,-0.1680743,13,2,15
"200009 - Stebondale Street, Cubitt Town",51.489096,-0.009205,21,4,25
"300242 - Allington Street, Victoria",51.496863,-0.1429434,4,21,25
"001096 - Bayswater Road, Hyde Park",51.511933,-0.174411,13,8,21
"200133 - South Lambeth Road, Vauxhall",51.481747,-0.124642,18,3,21
"001028 - William IV Street, Strand",51.50946212,-0.124749274,6,17,23
"200201 - Battersea Church Road, Battersea",51.47696496,-0.174347066,24,0,24
"300249 - Westminster Pier, Westminster",51.501513,-0.12382322,12,9,21
"003487 - Campden Hill Road, Notting Hill",51.50658458,-0.199004026,1,13,14
"200032 - Kennington Oval, Oval",51.483145,-0.113134,33,0,33
"200034 - Wapping Lane, Wapping",51.504749,-0.057544,20,5,25
"200099 - Upper Bank Street, Canary Wharf",51.503083,-0.017676,17,17,34
"200154 - Hansard Mews, Holland Park",51.503802,-0.215808,18,1,19
"300055 - Stewart's Road, Wandsworth Road",51.47311696,-0.137235175,17,11,28
"200068 - Somerset House, Strand",51.509943,-0.117619,7,33,40
"003465 - Eccleston Place, Victoria",51.49395092,-0.147624377,18,1,19
"300012 - Irene Road, Parsons Green",51.4737636,-0.197010096,18,22,40
"003506 - Stanhope Gate, Mayfair",51.50686435,-0.150666888,0,20,20
"010631 - Holland Park, Kensington",51.502319,-0.200742,6,23,29
"200161 - Clinton Road, Mile End",51.525941,-0.036017,16,19,35
"001196 - Vincent Square, Westminster",51.49398524,-0.136928582,7,12,19
"200142 - Hammersmith Road, Hammersmith",51.493267,-0.21985,5,14,19
"001073 - Kennington Road Post Office, Oval",51.48478899,-0.110683213,16,0,16
"300003 - Eel Brook Common, Walham Green",51.47625965,-0.193254007,22,2,24
"300238 - Southwark Street, Bankside",51.5054099403,-0.0983410884509,3,18,21
"000981 - British Museum, Bloomsbury",51.51908011,-0.124678402,2,32,34
"001101 - Knightsbridge, Hyde Park",51.50275704,-0.155349725,10,31,41
"001091 - St. John's Wood Church, The Regent's Park",51.530529,-0.167515,4,46,50
"003479 - Old Brompton Road, South Kensington",51.49094565,-0.181190899,10,19,29
"300096 - Tallis Street, Temple",51.511891,-0.107349,1,22,23
"300246 - Belvedere Road 2, South Bank",51.50621,-0.114842,24,13,37
"200088 - Clarges Street, Mayfair",51.507326,-0.145827,0,16,16
"022176 - Reardon Street, Wapping",51.506946,-0.058681,14,2,16
"200237 - Parson's Green , Parson's Green",51.472817,-0.199783,4,14,18
"200004 - Lightermans Road, Millwall",51.499041,-0.020157,5,26,31
