name,longitude,latitude
"200232 - Preston's Road, Cubitt Town",-0.009152,51.499286
"300056 - Mile End Stadium, Mile End",-0.034903714,51.51854104
"003489 - Broadwick Street, Soho",-0.135580879,51.5136846
"003426 - Lansdowne Drive, Hackney Central",-0.062806212,51.539834
"022181 - Camley Street, Camden Town",-0.13052999999999315,51.53792
"300014 - Falcon Road, Clapham Junction",-0.169821175,51.46663393
"001100 - Strand, Strand",-0.11505729999998948,51.512582
"200241 - Bonner Gate, Victoria Park",-0.049591815,51.53341
"300222 - Fore Street, Guildhall",-0.0914017,51.518093
"003439 - Tavistock Place, Bloomsbury",-0.123509611,51.5262503
"022158 - Exhibition Road Museums 1, South Kensington",-0.17379696,51.496468
"001118 - Hampton Street, Walworth",-0.101536865,51.49217002
"001070 - Bricklayers Arms, Borough",-0.085814489,51.49506109
"000970 - Scala Street, Fitzrovia",-0.136039674,51.51991453
"300026 - All Saints' Road, Portobello",-0.204764421,51.5190427
"200169 - Ashley Crescent, Battersea",-0.152248582,51.46718562
"001156 - Bedford Way, Bloomsbury",-0.128377673,51.52367314
"001154 - Kennington Road, Vauxhall",-0.110889274,51.49571828
"200005 - New Cavendish Street, Marylebone",-0.147983,51.519167
"001114 - Pont Street, Knightsbridge",-0.161203828,51.4968865
"003425 - Northington Street , Holborn",-0.114079481,51.5222641
"000967 - Golden Lane, Barbican",-0.094475072,51.52174785
"300022 - Evesham Street, Avondale",-0.218190203,51.51148696
"001067 - St. James's Square, St. James's",-0.134621209,51.50742485
"300233 - Aquatic Centre, Queen Elizabeth Olympic Park",-0.010437700000011318,51.541482
"022170 - Kennington Station, Kennington",-0.105593,51.488852
"002670 - Paddington Green, Paddington",-0.174593,51.520205
"001075 - Hyde Park Corner, Hyde Park",-0.153520935,51.50311799
"300034 - St. Mark's Road, North Kensington",-0.213872396,51.51687069
"022179 - Exhibition Road, Knightsbridge",-0.174554,51.499917
"001006 - Percy Street, Bloomsbury",-0.13267630000001418,51.51863
"001128 - Westbourne Green, Westbourne",-0.1928141999999866,51.522168
"200215 - Greyhound Road, Hammersmith",-0.214428378,51.48606206
"300230 - Wynne Road, Stockwell",-0.11268674,51.469217
"200172 - Lansdowne Road, Ladbroke Grove",-0.205535908,51.50748124
"200010 - Manresa Road, Chelsea",-0.170983,51.486892
"300236 - Bevington Road West, North Kensington",-0.208888173,51.5212
"300232 - Riverlight South, Nine Elms",-0.138212295869,51.4813354746
"300062 - South Bermondsey Station, Bermondsey",-0.057774596,51.488067
"003422 - Charlbert Street, St. John's Wood",-0.1680743,51.53430039
"200009 - Stebondale Street, Cubitt Town",-0.009205,51.489096
"300242 - Allington Street, Victoria",-0.1429434,51.496863
"001096 - Bayswater Road, Hyde Park",-0.174411,51.511933
"200133 - South Lambeth Road, Vauxhall",-0.124642,51.481747
